service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
107453066194,0,0,1,0,1,0,1,20251102,20260713
207451945304,0,0,1,0,1,0,1,20250713,20251031
104160686194,1,0,1,0,0,1,0,20260309,20260713
204151945302,1,0,1,0,0,1,0,20250713,20251029
104153056063,1,0,1,0,0,1,0,20251101,20260304
100160666066,0,0,0,0,0,1,0,20260307,20260307
106552846194,0,0,0,0,0,1,1,20251011,20260713
106553126194,0,0,0,0,0,1,1,20251108,20260713
206551945194,0,0,0,0,0,1,1,20250713,20250713
106552005201,0,0,0,0,0,1,1,20250719,20250720
106552075278,0,0,0,0,0,1,1,20250726,20251005
103252445244,1,0,0,0,0,0,0,20250901,20250901
100453315331,0,0,0,1,0,0,0,20251127,20251127
106552845306,0,0,0,0,0,1,1,20251011,20251102
106452856194,0,0,0,0,0,0,1,20251012,20260713
106452506194,0,0,0,0,0,0,1,20250907,20260713
206551945201,0,0,0,0,0,1,1,20250713,20250720
206451945236,0,0,0,0,0,0,1,20250713,20250824
106452505278,0,0,0,0,0,0,1,20250907,20251005
100153335333,0,0,0,0,0,1,0,20251129,20251129
106552076194,0,0,0,0,0,1,1,20250726,20260713
306551946194,0,0,0,0,0,1,1,20250713,20260713
106552075236,0,0,0,0,0,1,1,20250726,20250824
100152425242,0,0,0,0,0,1,0,20250830,20250830
106552435278,0,0,0,0,0,1,1,20250831,20251005
106451945201,0,0,0,0,0,0,1,20250713,20250720
106452085236,0,0,0,0,0,0,1,20250727,20250824
106453136194,0,0,0,0,0,0,1,20251109,20260713
206551945243,0,0,0,0,0,1,1,20250713,20250831
106552495278,0,0,0,0,0,1,1,20250906,20251005
106452855306,0,0,0,0,0,0,1,20251012,20251102
100152846194,0,0,0,0,0,1,0,20251011,20260713
206451945194,0,0,0,0,0,0,1,20250713,20250713
106452015201,0,0,0,0,0,0,1,20250720,20250720
200151945277,0,0,0,0,0,1,0,20250713,20251004
106452435243,0,0,0,0,0,0,1,20250831,20250831
106451945194,0,0,0,0,0,0,1,20250713,20250713
106553346194,0,0,0,0,0,1,1,20251130,20260713
106552075243,0,0,0,0,0,1,1,20250726,20250831
106552845327,0,0,0,0,0,1,1,20251011,20251123
100152005200,0,0,0,0,0,1,0,20250719,20250719
106253356194,1,1,1,1,1,0,0,20251201,20260713
206251945241,1,1,1,1,1,0,0,20250713,20250829
106252455276,1,1,1,1,1,0,0,20250902,20251003
106252795330,1,1,1,1,1,0,0,20251006,20251126
100253325332,0,0,0,0,1,0,0,20251128,20251128
106253326194,1,1,1,1,1,0,0,20251128,20260713
206251945213,1,1,1,1,1,0,0,20250713,20250801
106252165241,1,1,1,1,1,0,0,20250804,20250829
106251955241,1,1,1,1,1,0,0,20250714,20250829
106251955213,1,1,1,1,1,0,0,20250714,20250801
106252165234,1,1,1,1,1,0,0,20250804,20250822
106252375241,1,1,1,1,1,0,0,20250825,20250829
106252455330,1,1,1,1,1,0,0,20250902,20251126
103251955195,1,0,0,0,0,0,0,20250714,20250714
106251965213,1,1,1,1,1,0,0,20250715,20250801
106251965241,1,1,1,1,1,0,0,20250715,20250829
106552075215,0,0,0,0,0,1,1,20250726,20250803
106552215243,0,0,0,0,0,1,1,20250809,20250831
106552215278,0,0,0,0,0,1,1,20250809,20251005
112453316194,1,1,1,1,0,0,1,20251127,20260713
212451945198,1,1,1,1,0,0,1,20250713,20250717
106052025212,1,1,1,1,0,0,0,20250721,20250731
106452085215,0,0,0,0,0,0,1,20250727,20250803
112452165240,1,1,1,1,0,0,1,20250804,20250828
112452445275,1,1,1,1,0,0,1,20250901,20251002
112452785329,1,1,1,1,0,0,1,20251005,20251125
100352836194,0,0,0,0,1,1,0,20251010,20260713
200351945199,0,0,0,0,1,1,0,20250713,20250718
100252065213,0,0,0,0,1,0,0,20250725,20250801
100152075214,0,0,0,0,0,1,0,20250726,20250802
100352205277,0,0,0,0,1,1,0,20250808,20251004
100853305330,0,0,1,0,0,0,0,20251126,20251126
106452225236,0,0,0,0,0,0,1,20250810,20250824
112752796194,1,1,1,1,1,1,1,20251006,20260713
104851955203,1,1,0,0,0,0,0,20250714,20250722
101451975199,0,0,1,1,1,0,0,20250716,20250718
112752045276,1,1,1,1,1,1,1,20250723,20251003
106552775278,0,0,0,0,0,1,1,20251004,20251005
100153406194,0,0,0,0,0,1,0,20251206,20260713
200151945200,0,0,0,0,0,1,0,20250713,20250719
100152215277,0,0,0,0,0,1,0,20250809,20251004
100152845305,0,0,0,0,0,1,0,20251011,20251101
100153125326,0,0,0,0,0,1,0,20251108,20251122
100152075326,0,0,0,0,0,1,0,20250726,20251122
100152075277,0,0,0,0,0,1,0,20250726,20251004
100152845326,0,0,0,0,0,1,0,20251011,20251122
100152005277,0,0,0,0,0,1,0,20250719,20251004
112753066194,1,1,1,1,1,1,1,20251102,20260713
212451945194,1,1,1,1,0,0,1,20250713,20250713
200351945305,0,0,0,0,1,1,0,20250713,20251101
107651975201,0,0,1,1,0,0,1,20250716,20250720
112452045303,1,1,1,1,0,0,1,20250723,20251030
106551945201,0,0,0,0,0,1,1,20250713,20250720
112752746194,1,1,1,1,1,1,1,20251001,20260713
112752516194,1,1,1,1,1,1,1,20250908,20260713
312751946194,1,1,1,1,1,1,1,20250713,20260713
112752166194,1,1,1,1,1,1,1,20250804,20260713
212751945215,1,1,1,1,1,1,1,20250713,20250803
112752165273,1,1,1,1,1,1,1,20250804,20250930
206351945235,1,1,1,1,1,1,0,20250713,20250823
112752375243,1,1,1,1,1,1,1,20250825,20250831
103152455249,0,1,1,1,1,1,0,20250902,20250906
112752515273,1,1,1,1,1,1,1,20250908,20250930
112752496194,1,1,1,1,1,1,1,20250906,20260713
212551945247,1,1,1,1,0,1,1,20250713,20250904
112752846194,1,1,1,1,1,1,1,20251011,20260713
106251955199,1,1,1,1,1,0,0,20250714,20250718
112752025215,1,1,1,1,1,1,1,20250721,20250803
112752745283,1,1,1,1,1,1,1,20251001,20251010
112752165231,1,1,1,1,1,1,1,20250804,20250819
112752325244,1,1,1,1,1,1,1,20250820,20250901
112752455273,1,1,1,1,1,1,1,20250902,20250930
112752455283,1,1,1,1,1,1,1,20250902,20251010
106252455273,1,1,1,1,1,0,0,20250902,20250930
106252745330,1,1,1,1,1,0,0,20251001,20251126
112752356194,1,1,1,1,1,1,1,20250823,20260713
100252345234,0,0,0,0,1,0,0,20250822,20250822
212751945233,1,1,1,1,1,1,1,20250713,20250821
112752296194,1,1,1,1,1,1,1,20250817,20260713
212751945212,1,1,1,1,1,1,1,20250713,20250731
112752135228,1,1,1,1,1,1,1,20250801,20250816
212751945211,1,1,1,1,1,1,1,20250713,20250730
112752125228,1,1,1,1,1,1,1,20250731,20250816
112752036194,1,1,1,1,1,1,1,20250722,20260713
212751945200,1,1,1,1,1,1,1,20250713,20250719
109652015202,1,0,0,0,0,0,1,20250720,20250721
112752046194,1,1,1,1,1,1,1,20250723,20260713
212751945201,1,1,1,1,1,1,1,20250713,20250720
104852025203,1,1,0,0,0,0,0,20250721,20250722
112752045212,1,1,1,1,1,1,1,20250723,20250731
112752035212,1,1,1,1,1,1,1,20250722,20250731
100252836194,0,0,0,0,1,0,0,20251010,20260713
206551945278,0,0,0,0,0,1,1,20250713,20251005
200251945276,0,0,0,0,1,0,0,20250713,20251003
106451945236,0,0,0,0,0,0,1,20250713,20250824
106452505306,0,0,0,0,0,0,1,20250907,20251102
106252515276,1,1,1,1,1,0,0,20250908,20251003
106452085208,0,0,0,0,0,0,1,20250727,20250727
106452155215,0,0,0,0,0,0,1,20250803,20250803
106053356194,1,1,1,1,0,0,0,20251201,20260713
206051945240,1,1,1,1,0,0,0,20250713,20250828
106052455275,1,1,1,1,0,0,0,20250902,20251002
106052795329,1,1,1,1,0,0,0,20251006,20251125
106252456194,1,1,1,1,1,0,0,20250902,20260713
306251946194,1,1,1,1,1,0,0,20250713,20260713
307451946194,0,0,1,0,1,0,1,20250713,20260713
112752456194,1,1,1,1,1,1,1,20250902,20260713
306451946194,0,0,0,0,0,0,1,20250713,20260713
106552496194,0,0,0,0,0,1,1,20250906,20260713
300151946194,0,0,0,0,0,1,0,20250713,20260713
212751945240,1,1,1,1,1,1,1,20250713,20250828
103452415244,1,0,0,0,1,0,0,20250829,20250901
106552425243,0,0,0,0,0,1,1,20250830,20250831
106351955214,1,1,1,1,1,1,0,20250714,20250802
206251945244,1,1,1,1,1,0,0,20250713,20250901
206451945243,0,0,0,0,0,0,1,20250713,20250831
112760686194,1,1,1,1,1,1,1,20260309,20260713
212751946066,1,1,1,1,1,1,1,20250713,20260307
106460676067,0,0,0,0,0,0,1,20260308,20260308
112752166066,1,1,1,1,1,1,1,20250804,20260307
106552006194,0,0,0,0,0,1,1,20250719,20260713
106452015236,0,0,0,0,0,0,1,20250720,20250824
106252455304,1,1,1,1,1,0,0,20250902,20251031
106253075330,1,1,1,1,1,0,0,20251103,20251126
206251945232,1,1,1,1,1,0,0,20250713,20250820
100652335234,0,0,0,1,1,0,0,20250821,20250822
206251945234,1,1,1,1,1,0,0,20250713,20250822
100152005326,0,0,0,0,0,1,0,20250719,20251122
212751945243,1,1,1,1,1,1,1,20250713,20250831
106252796194,1,1,1,1,1,0,0,20251006,20260713
100152496194,0,0,0,0,0,1,0,20250906,20260713
200151945235,0,0,0,0,0,1,0,20250713,20250823
106052455329,1,1,1,1,0,0,0,20250902,20251125
103352425244,1,0,0,0,0,1,0,20250830,20250901
106251955276,1,1,1,1,1,0,0,20250714,20251003
212751945278,1,1,1,1,1,1,1,20250713,20251005
106552216194,0,0,0,0,0,1,1,20250809,20260713
106551946194,0,0,0,0,0,1,1,20250713,20260713
106253046194,1,1,1,1,1,0,0,20251031,20260713
100252205234,0,0,0,0,1,0,0,20250808,20250822
100252485297,0,0,0,0,1,0,0,20250905,20251024
300251946194,0,0,0,0,1,0,0,20250713,20260713
106252936194,1,1,1,1,1,0,0,20251020,20260713
106052456194,1,1,1,1,0,0,0,20250902,20260713
206451945278,0,0,0,0,0,0,1,20250713,20251005
106252455290,1,1,1,1,1,0,0,20250902,20251017
106252795290,1,1,1,1,1,0,0,20251006,20251017
106252376194,1,1,1,1,1,0,0,20250825,20260713
106352376194,1,1,1,1,1,1,0,20250825,20260713
112752376194,1,1,1,1,1,1,1,20250825,20260713
206251945199,1,1,1,1,1,0,0,20250713,20250718
106252025234,1,1,1,1,1,0,0,20250721,20250822
206351945200,1,1,1,1,1,1,0,20250713,20250719
106352025235,1,1,1,1,1,1,0,20250721,20250823
112752025236,1,1,1,1,1,1,1,20250721,20250824
200251945241,0,0,0,0,1,0,0,20250713,20250829
100252485248,0,0,0,0,1,0,0,20250905,20250905
106452505250,0,0,0,0,0,0,1,20250907,20250907
112751946194,1,1,1,1,1,1,1,20250713,20260713
112751956194,1,1,1,1,1,1,1,20250714,20260713
300351946194,0,0,0,0,1,1,0,20250713,20260713
212451945212,1,1,1,1,0,0,1,20250713,20250731
112452155240,1,1,1,1,0,0,1,20250803,20250828
112760676194,1,1,1,1,1,1,1,20260308,20260713
206551945200,0,0,0,0,0,1,1,20250713,20250719
112752015278,1,1,1,1,1,1,1,20250720,20251005
112752796065,1,1,1,1,1,1,1,20251006,20260306
105752796194,1,1,1,0,0,1,0,20251006,20260713
107052826194,0,0,0,1,1,0,1,20251009,20260713
207051945243,0,0,0,1,1,0,1,20250713,20250831
205751945244,1,1,1,0,0,1,0,20250713,20250901
105752455277,1,1,1,0,0,1,0,20250902,20251004
107052475278,0,0,0,1,1,0,1,20250904,20251005
112760666194,1,1,1,1,1,1,1,20260307,20260713
212751946064,1,1,1,1,1,1,1,20250713,20260305
100260656065,0,0,0,0,1,0,0,20260306,20260306
112752736194,1,1,1,1,1,1,1,20250930,20260713
212751945272,1,1,1,1,1,1,1,20250713,20250929
212751946065,1,1,1,1,1,1,1,20250713,20260306
212751945209,1,1,1,1,1,1,1,20250713,20250728
112752105244,1,1,1,1,1,1,1,20250729,20250901
112752456065,1,1,1,1,1,1,1,20250902,20260306
112752436194,1,1,1,1,1,1,1,20250831,20260713
212751945207,1,1,1,1,1,1,1,20250713,20250726
112752085242,1,1,1,1,1,1,1,20250727,20250830
107452786194,0,0,1,0,1,0,1,20251005,20260713
207451945276,0,0,1,0,1,0,1,20250713,20251003
102160696194,0,1,0,1,0,1,0,20260310,20260713
202151946064,0,1,0,1,0,1,0,20250713,20260305
112752236194,1,1,1,1,1,1,1,20250811,20260713
112451945205,1,1,1,1,0,0,1,20250713,20250724
100152075207,0,0,0,0,0,1,0,20250726,20250726
112452085212,1,1,1,1,0,0,1,20250727,20250731
100152145214,0,0,0,0,0,1,0,20250802,20250802
112752155222,1,1,1,1,1,1,1,20250803,20250810
200351945214,0,0,0,0,1,1,0,20250713,20250802
106051955205,1,1,1,1,0,0,0,20250714,20250724
106052095212,1,1,1,1,0,0,0,20250728,20250731
112752165222,1,1,1,1,1,1,1,20250804,20250810
112752236064,1,1,1,1,1,1,1,20250811,20260305
312651946194,1,1,1,1,1,0,1,20250713,20260713
112752025278,1,1,1,1,1,1,1,20250721,20251005
112752776194,1,1,1,1,1,1,1,20251004,20260713
212751945276,1,1,1,1,1,1,1,20250713,20251003
109651945195,1,0,0,0,0,0,1,20250713,20250714
112751965276,1,1,1,1,1,1,1,20250715,20251003
112751945276,1,1,1,1,1,1,1,20250713,20251003
112752776064,1,1,1,1,1,1,1,20251004,20260305
112752306194,1,1,1,1,1,1,1,20250818,20260713
106452015278,0,0,0,0,0,0,1,20250720,20251005
106552005278,0,0,0,0,0,1,1,20250719,20251005
108260676194,0,1,0,0,1,0,1,20260308,20260713
208251945301,0,1,0,0,1,0,1,20250713,20251028
108253046062,0,1,0,0,1,0,1,20251031,20260303
112753076194,1,1,1,1,1,1,1,20251103,20260713
212751945305,1,1,1,1,1,1,1,20250713,20251101
112760746194,1,1,1,1,1,1,1,20260315,20260713
212751945304,1,1,1,1,1,1,1,20250713,20251031
112753056073,1,1,1,1,1,1,1,20251101,20260314
212751945273,1,1,1,1,1,1,1,20250713,20250930
112752216194,1,1,1,1,1,1,1,20250809,20260713
106252165220,1,1,1,1,1,0,0,20250804,20250808
112753056064,1,1,1,1,1,1,1,20251101,20260305
206251945276,1,1,1,1,1,0,0,20250713,20251003
206251945330,1,1,1,1,1,0,0,20250713,20251126
106252876194,1,1,1,1,1,0,0,20251014,20260713
106552916194,0,0,0,0,0,1,1,20251018,20260713
206251945196,1,1,1,1,1,0,0,20250713,20250715
