trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
181646,1:01:00,1:01:00,SAN,1,0,0,1
181646,1:09:00,1:10:00,OLT,2,0,0,1
181646,1:39:00,1:40:00,SOL,3,0,0,1
181646,1:55:00,1:57:00,OSD,4,0,0,1
181646,2:32:00,2:34:00,SNC,5,0,0,1
181646,2:48:00,2:49:00,IRV,6,0,0,1
181646,2:59:00,3:01:00,SNA,7,0,0,1
181646,3:08:00,3:10:00,ANA,8,0,0,1
181646,3:17:00,3:18:00,FUL,9,0,0,1
181646,3:57:00,3:57:00,LAX,10,0,0,1
181909,1:00:00,1:00:00,LAX,1,0,0,1
181909,1:41:00,1:41:00,POS,2,0,0,1
181909,1:54:00,1:54:00,ONA,3,0,0,1
181909,3:36:00,3:36:00,PSN,4,0,0,1
181909,5:47:00,5:47:00,YUM,5,0,0,1
181909,8:35:00,8:55:00,MRC,6,0,0,1
181909,10:38:00,10:53:00,TUS,7,0,0,1
181909,11:53:00,11:53:00,BEN,8,0,0,1
181909,13:53:00,13:53:00,LDB,9,0,0,1
181909,14:48:00,14:48:00,DEM,10,0,0,1
181909,17:00:00,17:45:00,ELP,11,0,0,1
181909,21:45:00,21:55:00,ALP,12,0,0,1
181909,23:46:00,23:46:00,SND,13,0,0,1
181909,26:12:00,26:12:00,DRT,14,0,0,1
181909,30:00:00,31:25:00,SAS,15,0,0,1
181909,36:10:00,37:10:00,HOS,16,0,0,1
181909,38:53:00,39:05:00,BMT,17,0,0,1
181909,40:29:00,40:29:00,LCH,18,0,0,1
181909,42:12:00,42:15:00,LFT,19,0,0,1
181909,42:41:00,42:41:00,NIB,20,0,0,1
181909,44:03:00,44:03:00,SCH,21,0,0,1
181909,46:40:00,46:40:00,NOL,22,0,0,1
181910,1:00:00,1:00:00,LAX,1,0,0,1
181910,1:41:00,1:41:00,POS,2,0,0,1
181910,1:54:00,1:54:00,ONA,3,0,0,1
181910,3:36:00,3:36:00,PSN,4,0,0,1
181910,6:47:00,6:47:00,YUM,5,0,0,1
181910,9:35:00,9:55:00,MRC,6,0,0,1
181910,11:38:00,11:53:00,TUS,7,0,0,1
181910,12:53:00,12:53:00,BEN,8,0,0,1
181910,13:53:00,13:53:00,LDB,9,0,0,1
181910,14:48:00,14:48:00,DEM,10,0,0,1
181910,17:00:00,17:45:00,ELP,11,0,0,1
181910,21:45:00,21:55:00,ALP,12,0,0,1
181910,23:46:00,23:46:00,SND,13,0,0,1
181910,26:12:00,26:12:00,DRT,14,0,0,1
181910,30:00:00,31:25:00,SAS,15,0,0,1
181910,36:10:00,37:10:00,HOS,16,0,0,1
181910,38:53:00,39:05:00,BMT,17,0,0,1
181910,40:29:00,40:29:00,LCH,18,0,0,1
181910,42:12:00,42:15:00,LFT,19,0,0,1
181910,42:41:00,42:41:00,NIB,20,0,0,1
181910,44:03:00,44:03:00,SCH,21,0,0,1
181910,46:40:00,46:40:00,NOL,22,0,0,1
181917,14:52:00,14:52:00,CHI,1,0,0,1
181917,15:47:00,15:47:00,JOL,2,0,1,1
181917,16:30:00,16:30:00,PON,3,0,0,1
181917,17:04:00,17:04:00,BNL,4,0,0,1
181917,17:30:00,17:30:00,LCN,5,0,0,1
181917,18:08:00,18:08:00,SPI,6,0,0,1
181917,18:37:00,18:37:00,CRV,7,0,0,1
181917,19:08:00,19:08:00,ALN,8,0,0,1
181917,20:07:00,20:42:00,STL,9,0,0,1
181917,22:49:00,22:49:00,ACD,10,0,0,1
181917,24:29:00,24:29:00,PBF,11,0,0,1
181917,25:24:00,25:24:00,WNR,12,0,0,1
181917,27:49:00,28:04:00,LRK,13,0,0,1
181917,28:49:00,28:49:00,MVN,14,0,0,1
181917,29:14:00,29:14:00,ARK,15,0,0,1
181917,30:03:00,30:03:00,HOP,16,0,0,1
181917,30:44:00,30:52:00,TXA,17,0,0,1
181917,32:41:00,32:54:00,MHL,18,0,0,1
181917,33:32:00,33:32:00,LVW,19,0,0,1
181917,34:29:00,34:29:00,MIN,20,0,0,1
181917,36:40:00,37:00:00,DAL,21,0,0,1
181917,38:17:00,39:02:00,FTW,22,0,0,1
181917,39:44:00,39:44:00,CBR,23,0,0,1
181917,40:52:00,40:52:00,MCG,24,0,0,1
181917,41:35:00,41:35:00,TPL,25,0,0,1
181917,42:28:00,42:28:00,TAY,26,0,0,1
181917,43:35:00,43:50:00,AUS,27,0,0,1
181917,44:33:00,44:33:00,SMC,28,0,0,1
181917,47:16:00,47:16:00,SAS,29,0,0,1
182233,5:25:00,5:25:00,ALB,1,0,0,1
182233,5:45:00,5:47:00,HUD,2,0,0,1
182233,6:07:00,6:09:00,RHI,3,0,0,1
182233,7:00:00,7:01:00,CRT,4,0,0,1
182233,7:45:00,7:45:00,NYP,5,0,0,1
182234,5:20:00,5:20:00,ALB,1,0,0,1
182234,5:45:00,5:47:00,HUD,2,0,0,1
182234,6:07:00,6:09:00,RHI,3,0,0,1
182234,7:00:00,7:01:00,CRT,4,0,0,1
182234,7:45:00,7:45:00,NYP,5,0,0,1
182235,5:25:00,5:25:00,ALB,1,0,0,1
182235,5:45:00,5:47:00,HUD,2,0,0,1
182235,6:07:00,6:09:00,RHI,3,0,0,1
182235,7:00:00,7:01:00,CRT,4,0,0,1
182235,7:45:00,7:45:00,NYP,5,0,0,1
182238,11:20:00,11:20:00,NYP,1,0,0,1
182238,11:44:00,11:44:00,YNY,2,0,0,1
182238,12:03:00,12:03:00,CRT,3,0,0,1
182238,12:45:00,12:45:00,POU,4,0,0,1
182238,12:58:00,13:00:00,RHI,5,0,0,1
182238,13:19:00,13:22:00,HUD,6,0,0,1
182238,13:51:00,13:51:00,ALB,7,0,0,1
182239,11:20:00,11:20:00,NYP,1,0,0,1
182239,11:44:00,11:44:00,YNY,2,0,0,1
182239,12:03:00,12:03:00,CRT,3,0,0,1
182239,12:45:00,12:45:00,POU,4,0,0,1
182239,12:58:00,13:00:00,RHI,5,0,0,1
182239,13:19:00,13:22:00,HUD,6,0,0,1
182239,13:51:00,13:51:00,ALB,7,0,0,1
182241,11:20:00,11:20:00,NYP,1,0,0,1
182241,11:44:00,11:44:00,YNY,2,0,0,1
182241,12:03:00,12:03:00,CRT,3,0,0,1
182241,12:45:00,12:45:00,POU,4,0,0,1
182241,12:58:00,13:00:00,RHI,5,0,0,1
182241,13:19:00,13:22:00,HUD,6,0,0,1
182241,13:51:00,13:51:00,ALB,7,0,0,1
182243,11:20:00,11:20:00,NYP,1,0,0,1
182243,11:44:00,11:44:00,YNY,2,0,0,1
182243,12:03:00,12:03:00,CRT,3,0,0,1
182243,12:45:00,12:45:00,POU,4,0,0,1
182243,12:58:00,13:00:00,RHI,5,0,0,1
182243,13:19:00,13:22:00,HUD,6,0,0,1
182243,13:51:00,13:51:00,ALB,7,0,0,1
182244,6:50:00,6:50:00,ALB,1,0,0,1
182244,7:10:00,7:12:00,HUD,2,0,0,1
182244,7:34:00,7:36:00,RHI,3,0,0,1
182244,7:51:00,7:51:00,POU,4,0,0,1
182244,8:31:00,8:33:00,CRT,5,0,0,1
182244,8:54:00,8:55:00,YNY,6,0,0,1
182244,9:21:00,9:21:00,NYP,7,0,0,1
182245,6:45:00,6:45:00,ALB,1,0,0,1
182245,7:10:00,7:12:00,HUD,2,0,0,1
182245,7:34:00,7:36:00,RHI,3,0,0,1
182245,7:51:00,7:51:00,POU,4,0,0,1
182245,8:31:00,8:33:00,CRT,5,0,0,1
182245,8:54:00,8:55:00,YNY,6,0,0,1
182245,9:21:00,9:21:00,NYP,7,0,0,1
182246,6:50:00,6:50:00,ALB,1,0,0,1
182246,7:10:00,7:12:00,HUD,2,0,0,1
182246,7:34:00,7:36:00,RHI,3,0,0,1
182246,7:51:00,7:51:00,POU,4,0,0,1
182246,8:31:00,8:33:00,CRT,5,0,0,1
182246,8:54:00,8:55:00,YNY,6,0,0,1
182246,9:21:00,9:21:00,NYP,7,0,0,1
182247,8:15:00,8:15:00,ALB,1,0,0,1
182247,8:35:00,8:37:00,HUD,2,0,0,1
182247,8:58:00,9:00:00,RHI,3,0,0,1
182247,9:14:00,9:15:00,POU,4,0,0,1
182247,9:53:00,9:54:00,CRT,5,0,0,1
182247,10:15:00,10:16:00,YNY,6,0,0,1
182247,10:45:00,10:45:00,NYP,7,0,0,1
182248,8:10:00,8:10:00,ALB,1,0,0,1
182248,8:35:00,8:37:00,HUD,2,0,0,1
182248,8:58:00,9:00:00,RHI,3,0,0,1
182248,9:14:00,9:15:00,POU,4,0,0,1
182248,9:53:00,9:54:00,CRT,5,0,0,1
182248,10:15:00,10:16:00,YNY,6,0,0,1
182248,10:45:00,10:45:00,NYP,7,0,0,1
182249,8:15:00,8:15:00,ALB,1,0,0,1
182249,8:35:00,8:37:00,HUD,2,0,0,1
182249,8:58:00,9:00:00,RHI,3,0,0,1
182249,9:14:00,9:15:00,POU,4,0,0,1
182249,9:53:00,9:54:00,CRT,5,0,0,1
182249,10:15:00,10:16:00,YNY,6,0,0,1
182249,10:45:00,10:45:00,NYP,7,0,0,1
182259,17:47:00,17:47:00,NYP,1,0,0,1
182259,18:32:00,18:32:00,CRT,2,0,0,1
182259,19:22:00,19:22:00,POU,3,0,0,1
182259,19:36:00,19:38:00,RHI,4,0,0,1
182259,19:57:00,19:59:00,HUD,5,0,0,1
182259,20:28:00,20:28:00,ALB,6,0,0,1
182267,18:46:00,18:46:00,NYP,1,0,0,1
182267,19:08:00,19:09:00,YNY,2,0,0,1
182267,19:26:00,19:28:00,CRT,3,0,0,1
182267,20:08:00,20:10:00,POU,4,0,0,1
182267,20:23:00,20:25:00,RHI,5,0,0,1
182267,20:44:00,20:46:00,HUD,6,0,0,1
182267,21:15:00,21:15:00,ALB,7,0,0,1
182268,18:46:00,18:46:00,NYP,1,0,0,1
182268,19:08:00,19:09:00,YNY,2,0,0,1
182268,19:26:00,19:28:00,CRT,3,0,0,1
182268,20:08:00,20:10:00,POU,4,0,0,1
182268,20:23:00,20:25:00,RHI,5,0,0,1
182268,20:44:00,20:46:00,HUD,6,0,0,1
182268,21:15:00,21:15:00,ALB,7,0,0,1
182277,16:50:00,16:50:00,ALB,1,0,0,1
182277,17:13:00,17:15:00,HUD,2,0,0,1
182277,17:36:00,17:38:00,RHI,3,0,0,1
182277,17:52:00,17:52:00,POU,4,0,0,1
182277,18:32:00,18:32:00,CRT,5,0,0,1
182277,19:27:00,19:27:00,NYP,6,0,0,1
182278,16:50:00,16:50:00,ALB,1,0,0,1
182278,17:13:00,17:15:00,HUD,2,0,0,1
182278,17:36:00,17:38:00,RHI,3,0,0,1
182278,17:52:00,17:52:00,POU,4,0,0,1
182278,18:32:00,18:32:00,CRT,5,0,0,1
182278,19:27:00,19:27:00,NYP,6,0,0,1
182280,16:50:00,16:50:00,ALB,1,0,0,1
182280,17:13:00,17:15:00,HUD,2,0,0,1
182280,17:36:00,17:38:00,RHI,3,0,0,1
182280,17:52:00,17:52:00,POU,4,0,0,1
182280,18:32:00,18:32:00,CRT,5,0,0,1
182280,19:27:00,19:27:00,NYP,6,0,0,1
182282,16:50:00,16:50:00,ALB,1,0,0,1
182282,17:13:00,17:15:00,HUD,2,0,0,1
182282,17:36:00,17:38:00,RHI,3,0,0,1
182282,17:52:00,17:52:00,POU,4,0,0,1
182282,18:32:00,18:32:00,CRT,5,0,0,1
182282,19:27:00,19:27:00,NYP,6,0,0,1
182283,16:30:00,16:30:00,ALB,1,0,0,1
182283,16:50:00,16:52:00,HUD,2,0,0,1
182283,17:12:00,17:14:00,RHI,3,0,0,1
182283,17:30:00,17:30:00,POU,4,0,0,1
182283,18:10:00,18:10:00,CRT,5,0,0,1
182283,19:05:00,19:05:00,NYP,6,0,0,1
182326,9:50:00,9:50:00,BTN,1,0,0,1
182326,10:22:00,10:24:00,VRN,2,0,0,1
182326,10:39:00,10:41:00,MBY,3,0,0,1
182326,11:35:00,11:45:00,RUD,4,0,0,1
182326,12:03:00,12:04:00,CNV,5,0,0,1
182326,12:58:00,13:00:00,FED,6,0,0,1
182326,13:20:00,13:22:00,SAR,7,0,0,1
182326,13:56:00,13:58:00,SDY,8,0,0,1
182326,14:21:00,14:48:00,ALB,9,0,0,1
182326,15:08:00,15:09:00,HUD,10,0,0,1
182326,15:29:00,15:31:00,RHI,11,0,0,1
182326,15:47:00,15:48:00,POU,12,0,0,1
182326,16:28:00,16:29:00,CRT,13,0,0,1
182326,16:49:00,16:50:00,YNY,14,0,0,1
182326,17:24:00,17:24:00,NYP,15,0,0,1
182327,9:50:00,9:50:00,BTN,1,0,0,1
182327,10:22:00,10:24:00,VRN,2,0,0,1
182327,10:39:00,10:41:00,MBY,3,0,0,1
182327,11:35:00,11:45:00,RUD,4,0,0,1
182327,12:03:00,12:04:00,CNV,5,0,0,1
182327,12:58:00,13:00:00,FED,6,0,0,1
182327,13:20:00,13:22:00,SAR,7,0,0,1
182327,13:56:00,13:58:00,SDY,8,0,0,1
182327,14:21:00,14:48:00,ALB,9,0,0,1
182327,15:11:00,15:12:00,HUD,10,0,0,1
182327,15:32:00,15:34:00,RHI,11,0,0,1
182327,15:47:00,15:48:00,POU,12,0,0,1
182327,16:28:00,16:29:00,CRT,13,0,0,1
182327,16:49:00,16:50:00,YNY,14,0,0,1
182327,17:24:00,17:24:00,NYP,15,0,0,1
182328,9:50:00,9:50:00,BTN,1,0,0,1
182328,10:22:00,10:24:00,VRN,2,0,0,1
182328,10:39:00,10:41:00,MBY,3,0,0,1
182328,11:35:00,11:45:00,RUD,4,0,0,1
182328,12:03:00,12:04:00,CNV,5,0,0,1
182328,12:58:00,13:00:00,FED,6,0,0,1
182328,13:20:00,13:22:00,SAR,7,0,0,1
182328,13:56:00,13:58:00,SDY,8,0,0,1
182328,14:21:00,14:48:00,ALB,9,0,0,1
182328,15:08:00,15:09:00,HUD,10,0,0,1
182328,15:29:00,15:31:00,RHI,11,0,0,1
182328,15:47:00,15:48:00,POU,12,0,0,1
182328,16:28:00,16:29:00,CRT,13,0,0,1
182328,16:49:00,16:50:00,YNY,14,0,0,1
182328,17:24:00,17:24:00,NYP,15,0,0,1
182333,14:19:00,14:19:00,NYP,1,0,0,1
182333,14:42:00,14:43:00,YNY,2,0,0,1
182333,15:00:00,15:02:00,CRT,3,0,0,1
182333,15:42:00,15:44:00,POU,4,0,0,1
182333,15:58:00,16:00:00,RHI,5,0,0,1
182333,16:22:00,16:24:00,HUD,6,0,0,1
182333,16:49:00,17:04:00,ALB,7,0,0,1
182333,17:28:00,17:28:00,SDY,8,0,0,1
182333,17:54:00,17:56:00,SAR,9,0,0,1
182333,18:16:00,18:17:00,FED,10,0,0,1
182333,19:16:00,19:17:00,CNV,11,0,0,1
182333,19:46:00,19:56:00,RUD,12,0,0,1
182333,20:45:00,20:45:00,MBY,13,0,0,1
182333,21:05:00,21:05:00,VRN,14,0,0,1
182333,21:50:00,21:50:00,BTN,15,0,0,1
182334,14:19:00,14:19:00,NYP,1,0,0,1
182334,14:42:00,14:43:00,YNY,2,0,0,1
182334,15:00:00,15:02:00,CRT,3,0,0,1
182334,15:42:00,15:44:00,POU,4,0,0,1
182334,15:58:00,16:00:00,RHI,5,0,0,1
182334,16:19:00,16:21:00,HUD,6,0,0,1
182334,16:49:00,17:04:00,ALB,7,0,0,1
182334,17:28:00,17:28:00,SDY,8,0,0,1
182334,17:54:00,17:56:00,SAR,9,0,0,1
182334,18:16:00,18:17:00,FED,10,0,0,1
182334,19:16:00,19:17:00,CNV,11,0,0,1
182334,19:46:00,19:56:00,RUD,12,0,0,1
182334,20:45:00,20:45:00,MBY,13,0,0,1
182334,21:05:00,21:05:00,VRN,14,0,0,1
182334,21:50:00,21:50:00,BTN,15,0,0,1
182342,8:15:00,8:15:00,CHI,1,0,0,1
182342,9:12:00,9:12:00,JOL,2,0,0,1
182342,10:13:00,10:16:00,BNL,3,0,0,1
182342,11:10:00,11:13:00,SPI,4,0,0,1
182342,12:12:00,12:14:00,ALN,5,0,0,1
182342,13:01:00,13:01:00,STL,6,0,0,1
182343,7:35:00,7:35:00,STL,1,0,0,1
182343,8:19:00,8:21:00,ALN,2,0,0,1
182343,8:46:00,8:46:00,CRV,3,0,0,1
182343,9:19:00,9:22:00,SPI,4,0,0,1
182343,9:44:00,9:44:00,LCN,5,0,0,1
182343,10:13:00,10:16:00,BNL,6,0,0,1
182343,10:42:00,10:42:00,PON,7,0,0,1
182343,10:58:00,10:58:00,DWT,8,0,0,1
182343,11:39:00,11:39:00,JOL,9,0,0,1
182343,12:04:00,12:04:00,SMT,10,1,0,1
182343,12:40:00,12:40:00,CHI,11,0,0,1
182345,18:40:00,18:40:00,STL,1,0,0,1
182345,19:22:00,19:24:00,ALN,2,0,0,1
182345,20:21:00,20:24:00,SPI,3,0,0,1
182345,20:46:00,20:46:00,LCN,4,0,0,1
182345,21:14:00,21:17:00,BNL,5,0,0,1
182345,21:46:00,21:46:00,PON,6,0,0,1
182345,22:35:00,22:35:00,JOL,7,0,0,1
182345,23:00:00,23:00:00,SMT,8,1,0,1
182345,23:43:00,23:43:00,CHI,9,0,0,1
182346,20:10:00,20:10:00,CHI,1,0,0,1
182346,20:32:00,20:32:00,SMT,2,0,0,1
182346,21:00:00,21:00:00,JOL,3,0,0,1
182346,21:38:00,21:38:00,PON,4,0,0,1
182346,22:16:00,22:19:00,BNL,5,0,0,1
182346,22:47:00,22:47:00,LCN,6,0,0,1
182346,23:16:00,23:19:00,SPI,7,0,0,1
182346,24:20:00,24:22:00,ALN,8,0,0,1
182346,25:09:00,25:09:00,STL,9,0,0,1
182347,9:10:00,9:10:00,STL,1,0,0,1
182347,9:39:00,9:39:00,KWD,2,0,0,1
182347,10:16:00,10:16:00,WAH,3,0,0,1
182347,10:45:00,10:45:00,HEM,4,0,0,1
182347,11:35:00,11:35:00,JEF,5,0,0,1
182347,12:45:00,12:45:00,SED,6,0,0,1
182347,13:16:00,13:16:00,WAR,7,0,0,1
182347,14:03:00,14:03:00,LEE,8,0,0,1
182347,14:20:00,14:20:00,IDP,9,0,0,1
182347,14:50:00,14:50:00,KCY,10,0,0,1
182348,17:05:00,17:05:00,KCY,1,0,0,1
182348,17:24:00,17:24:00,IDP,2,0,0,1
182348,17:41:00,17:41:00,LEE,3,0,0,1
182348,18:24:00,18:24:00,WAR,4,0,0,1
182348,18:54:00,18:54:00,SED,5,0,0,1
182348,20:12:00,20:12:00,JEF,6,0,0,1
182348,20:57:00,20:57:00,HEM,7,0,0,1
182348,21:24:00,21:24:00,WAH,8,0,0,1
182348,22:13:00,22:13:00,KWD,9,0,0,1
182348,22:45:00,22:45:00,STL,10,0,0,1
182349,9:40:00,9:40:00,KCY,1,0,0,1
182349,9:59:00,9:59:00,IDP,2,0,0,1
182349,10:16:00,10:16:00,LEE,3,0,0,1
182349,10:57:00,10:57:00,WAR,4,0,0,1
182349,11:27:00,11:27:00,SED,5,0,0,1
182349,12:49:00,12:49:00,JEF,6,0,0,1
182349,13:36:00,13:36:00,HEM,7,0,0,1
182349,14:03:00,14:03:00,WAH,8,0,0,1
182349,14:47:00,14:47:00,KWD,9,0,0,1
182349,15:20:00,15:55:00,STL,10,0,0,1
182349,16:37:00,16:39:00,ALN,11,0,0,1
182349,17:05:00,17:05:00,CRV,12,0,0,1
182349,17:43:00,17:46:00,SPI,13,0,0,1
182349,18:08:00,18:08:00,LCN,14,0,0,1
182349,18:32:00,18:35:00,BNL,15,0,0,1
182349,18:59:00,18:59:00,PON,16,0,0,1
182349,19:12:00,19:12:00,DWT,17,0,0,1
182349,19:46:00,19:46:00,JOL,18,0,0,1
182349,20:11:00,20:11:00,SMT,19,1,0,1
182349,21:00:00,21:00:00,CHI,20,0,0,1
182350,10:50:00,10:50:00,CHI,1,0,0,1
182350,11:13:00,11:13:00,SMT,2,0,0,1
182350,11:40:00,11:40:00,JOL,3,0,0,1
182350,12:09:00,12:09:00,DWT,4,0,0,1
182350,12:23:00,12:23:00,PON,5,0,0,1
182350,12:56:00,12:59:00,BNL,6,0,0,1
182350,13:25:00,13:25:00,LCN,7,0,0,1
182350,13:53:00,13:56:00,SPI,8,0,0,1
182350,14:33:00,14:33:00,CRV,9,0,0,1
182350,14:57:00,14:59:00,ALN,10,0,0,1
182350,15:51:00,16:11:00,STL,11,0,0,1
182350,16:40:00,16:40:00,KWD,12,0,0,1
182350,17:17:00,17:17:00,WAH,13,0,0,1
