service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RJUN25-801-2_Saturday-08,0,0,0,0,0,1,0,20250712,20250712
RJUN25-801-3_Sunday-90,0,0,0,0,0,0,1,20250713,20250720
RJUN25-801-1_Weekday-15,1,1,1,1,1,0,0,20250714,20250715
RJUN25-801-1_Weekday-08,1,1,1,1,1,0,0,20250716,20250716
RJUN25-801-1_Weekday-16,1,1,1,1,1,0,0,20250717,20250717
RJUN25-801-1_Weekday-17,1,1,1,1,1,0,0,20250718,20250718
RJUN25-801-2_Saturday-90,0,0,0,0,0,1,0,20250719,20250726
RJUN25-801-1_Weekday-90,1,1,1,1,1,0,0,20250721,20250725
RJUN25-802-2_Saturday-56,0,0,0,0,0,1,0,20250712,20250712
RJUN25-802-3_Sunday-56,0,0,0,0,0,0,1,20250713,20250713
RJUN25-802-1_Weekday-81,1,1,1,1,1,0,0,20250714,20250725
RJUN25-802-1_Weekday-51,1,1,1,1,1,0,0,20250715,20250718
RJUN25-802-2_Saturday-81,0,0,0,0,0,1,0,20250719,20250719
RJUN25-802-3_Sunday-81,0,0,0,0,0,0,1,20250720,20250720
RJUN25-802-2_Saturday-90,0,0,0,0,0,1,0,20250726,20250726
RJUN25-803-2_Saturday-10,0,0,0,0,0,1,0,20250712,20250726
RJUN25-803-3_Sunday-10,0,0,0,0,0,0,1,20250713,20250720
RJUN25-803-1_Weekday-12,1,1,1,1,1,0,0,20250714,20250717
RJUN25-803-1_Weekday-10,1,1,1,1,1,0,0,20250715,20250725
RJUN25-804-2_Saturday-04,0,0,0,0,0,1,0,20250712,20250719
RJUN25-804-3_Sunday-06,0,0,0,0,0,0,1,20250713,20250713
RJUN25-804-1_Weekday-90,1,1,1,1,1,0,0,20250714,20250725
RJUN25-804-1_Weekday-09,1,1,1,1,1,0,0,20250715,20250717
RJUN25-804-1_Weekday-13,1,1,1,1,1,0,0,20250716,20250716
RJUN25-804-3_Sunday-00,0,0,0,0,0,0,1,20250720,20250720
RJUN25-804-2_Saturday-90,0,0,0,0,0,1,0,20250726,20250726
