"fare_id","price","currency_type","payment_method","transfers","transfer_duration"
"1","1.25","USD","1","1","0"
"2","1.5","USD","1","1","0"
"3","1.75","USD","1","1","0"
"4","2","USD","1","1","0"
"5","2.25","USD","1","1","0"
"6","2.5","USD","1","1","0"
"7","2.75","USD","1","1","0"
"8","3","USD","1","1","0"
"9","3.25","USD","1","1","0"
"10","3.5","USD","1","1","0"
"11","3.75","USD","1","1","0"
"12","4","USD","1","1","0"
"13","4.25","USD","1","1","0"
"14","4.5","USD","1","1","0"
"15","4.75","USD","1","1","0"
"16","5","USD","1","1","0"
"17","5.25","USD","1","1","0"
"18","5.5","USD","1","1","0"
"19","5.75","USD","1","1","0"
"20","6","USD","1","1","0"
"21","6.25","USD","1","1","0"
"22","6.5","USD","1","1","0"
"23","6.75","USD","1","1","0"
"24","7","USD","1","1","0"
"25","7.25","USD","1","1","0"
"26","7.5","USD","1","1","0"
"27","7.75","USD","1","1","0"
"28","8","USD","1","1","0"
"29","8.25","USD","1","1","0"
"30","8.5","USD","1","1","0"
"31","8.75","USD","1","1","0"
"32","9","USD","1","1","0"
"33","9.25","USD","1","1","0"
"34","9.5","USD","1","1","0"
"35","9.75","USD","1","1","0"
"36","10","USD","1","1","0"
"37","10.25","USD","1","1","0"
"38","10.5","USD","1","1","0"
"39","10.75","USD","1","1","0"
"40","11","USD","1","1","0"
"41","11.25","USD","1","1","0"
"42","11.5","USD","1","1","0"
"43","11.75","USD","1","1","0"
"44","12","USD","1","1","0"
"45","12.25","USD","1","1","0"
"46","12.5","USD","1","1","0"
"47","12.75","USD","1","1","0"
"48","13","USD","1","1","0"
"49","13.25","USD","1","1","0"
"50","13.5","USD","1","1","0"
"51","13.75","USD","1","1","0"
"52","14","USD","1","1","0"
"53","14.25","USD","1","1","0"
"54","14.5","USD","1","1","0"
"55","14.75","USD","1","1","0"
"56","15","USD","1","1","0"
"57","15.25","USD","1","1","0"
"58","15.5","USD","1","1","0"
"59","15.75","USD","1","1","0"
"60","16","USD","1","1","0"
"61","16.25","USD","1","1","0"
"62","16.5","USD","1","1","0"
"63","16.75","USD","1","1","0"
"64","17","USD","1","1","0"
"65","17.25","USD","1","1","0"
"66","17.5","USD","1","1","0"
"67","17.75","USD","1","1","0"
"68","18","USD","1","1","0"
"69","18.25","USD","1","1","0"
"70","18.5","USD","1","1","0"
"71","18.75","USD","1","1","0"
"72","19","USD","1","1","0"
"73","19.25","USD","1","1","0"
"74","19.5","USD","1","1","0"
"75","19.75","USD","1","1","0"
"76","20","USD","1","1","0"
"77","20.25","USD","1","1","0"
"78","20.5","USD","1","1","0"
"79","20.75","USD","1","1","0"
"80","21","USD","1","1","0"
"81","21.25","USD","1","1","0"
"82","21.5","USD","1","1","0"
"83","21.75","USD","1","1","0"
"84","22","USD","1","1","0"
"85","22.25","USD","1","1","0"
"86","22.5","USD","1","1","0"
"87","22.75","USD","1","1","0"
"88","23","USD","1","1","0"
"89","23.25","USD","1","1","0"
"90","23.5","USD","1","1","0"
"91","23.75","USD","1","1","0"
"92","24","USD","1","1","0"
"93","24.25","USD","1","1","0"
"94","24.5","USD","1","1","0"
"95","25","USD","1","1","0"
"96","26.5","USD","1","1","0"
"97","27.25","USD","1","1","0"
"98","27.5","USD","1","1","0"
