"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"Ventura County Line","1141","294100120","L.A. Union Station","100","1"
"Ventura County Line","1141","294100122","L.A. Union Station","102","1"
"Ventura County Line","1141","294200134","Moorpark","103","0"
"Ventura County Line","1141","294100123","L.A. Union Station","104","1"
"Ventura County Line","1141","200090106","L.A. Union Station","106","1"
"Ventura County Line","1141","294200133","Moorpark","107","0"
"Ventura County Line","1141","294100127","L.A. Union Station","108","1"
"Ventura County Line","1141","294200154","L.A. Union Station","110","1"
"Ventura County Line","1141","294100146","L.A. Union Station","114","1"
"Ventura County Line","1141","294200147","Ventura - East","115","0"
"Ventura County Line","1141","294100131","L.A. Union Station","116","1"
"Ventura County Line","1141","294200142","Chatsworth","117","0"
"Ventura County Line","1141","294200148","L.A. Union Station","118","1"
"Ventura County Line","1141","294200143","Chatsworth","119","0"
"Ventura County Line","1141","294100132","L.A. Union Station","120","1"
"Ventura County Line","1141","200000121","Moorpark","121","0"
"Ventura County Line","1141","200090123","Chatsworth","123","0"
"Ventura County Line","1141","294100147","L.A. Union Station","124","1"
"Ventura County Line","1141","294200175","Ventura - East","127","0"
"Ventura County Line","1141","294200138","Ventura - East","129","0"
"Ventura County Line","1141","294200141","Moorpark","131","0"
"Ventura County Line","1141","294100139","Moorpark","139","0"
"Antelope Valley Line","1142","294300238","L.A. Union Station","200","1"
"Antelope Valley Line","1142","200090205","Lancaster","201","0"
"Antelope Valley Line","1142","294300162","L.A. Union Station","202","1"
"Antelope Valley Line","1142","294400173","Vista Canyon","203","0"
"Antelope Valley Line","1142","294300163","L.A. Union Station","204","1"
"Antelope Valley Line","1142","200090206","L.A. Union Station","206","1"
"Antelope Valley Line","1142","200000229","Lancaster","207","0"
"Antelope Valley Line","1142","294300165","L.A. Union Station","208","1"
"Antelope Valley Line","1142","294400182","Vista Canyon","209","0"
"Antelope Valley Line","1142","200090210","L.A. Union Station","210","1"
"Antelope Valley Line","1142","294300211","Lancaster","211","0"
"Antelope Valley Line","1142","200000213","Vista Canyon","213","0"
"Antelope Valley Line","1142","294300167","L.A. Union Station","214","1"
"Antelope Valley Line","1142","294300215","Lancaster","215","0"
"Antelope Valley Line","1142","294300216","L.A. Union Station","216","1"
"Antelope Valley Line","1142","294300217","Vista Canyon","217","0"
"Antelope Valley Line","1142","200000218","L.A. Union Station","218","1"
"Antelope Valley Line","1142","200090219","Lancaster","219","0"
"Antelope Valley Line","1142","294300220","L.A. Union Station","220","1"
"Antelope Valley Line","1142","200000221","Lancaster","221","0"
"Antelope Valley Line","1142","200000222","L.A. Union Station","222","1"
"Antelope Valley Line","1142","294400189","Lancaster","223","0"
"Antelope Valley Line","1142","200090224","L.A. Union Station","224","1"
"Antelope Valley Line","1142","200090225","Lancaster","225","0"
"Antelope Valley Line","1142","200000026","Lancaster","227","0"
"Antelope Valley Line","1142","294300226","L.A. Union Station","228","1"
"Antelope Valley Line","1142","200000231","Lancaster","231","0"
"Antelope Valley Line","1142","200000230","L.A. Union Station","232","1"
"Antelope Valley Line","1142","294300235","Lancaster","233","0"
"Antelope Valley Line","1142","294300234","L.A. Union Station","236","1"
"San Bernardino Line","1146","200000300","San Bernardino - Downtown","300","0"
"San Bernardino Line","1146","200000301","L.A. Union Station","301","1"
"San Bernardino Line","1146","294100302","Montclair","302","0"
"San Bernardino Line","1146","295200225","San Bernardino - Downtown","304","0"
"San Bernardino Line","1146","295100226","L.A. Union Station","305","1"
"San Bernardino Line","1146","295101003","L.A. Union Station","307","1"
"San Bernardino Line","1146","200090308","San Bernardino - Downtown","308","0"
"San Bernardino Line","1146","200000381","L.A. Union Station","309","1"
"San Bernardino Line","1146","294100310","Montclair","310","0"
"San Bernardino Line","1146","295100223","L.A. Union Station","311","1"
"San Bernardino Line","1146","295200233","San Bernardino - Downtown","312","0"
"San Bernardino Line","1146","295100234","L.A. Union Station","313","1"
"San Bernardino Line","1146","294100316","San Bernardino - Downtown","316","0"
"San Bernardino Line","1146","295100238","L.A. Union Station","317","1"
"San Bernardino Line","1146","295200239","Montclair","318","0"
"San Bernardino Line","1146","295100240","L.A. Union Station","319","1"
"San Bernardino Line","1146","295200241","San Bernardino - Downtown","320","0"
"San Bernardino Line","1146","295100242","L.A. Union Station","321","1"
"San Bernardino Line","1146","295201004","San Bernardino - Downtown","324","0"
"San Bernardino Line","1146","200000325","L.A. Union Station","325","1"
"San Bernardino Line","1146","295200247","Montclair","326","0"
"San Bernardino Line","1146","294100327","L.A. Union Station","327","1"
"San Bernardino Line","1146","294100328","San Bernardino - Downtown","328","0"
"San Bernardino Line","1146","200090329","L.A. Union Station","329","1"
"San Bernardino Line","1146","295200253","San Bernardino - Downtown","332","0"
"San Bernardino Line","1146","295100254","L.A. Union Station","333","1"
"San Bernardino Line","1146","295100861","L.A. Union Station","335","1"
"San Bernardino Line","1146","200000336","San Bernardino - Downtown","336","0"
"San Bernardino Line","1146","200090337","L.A. Union Station","337","1"
"San Bernardino Line","1146","200090338","Montclair","338","0"
"San Bernardino Line","1146","200090340","San Bernardino - Downtown","340","0"
"San Bernardino Line","1146","294100341","L.A. Union Station","341","1"
"San Bernardino Line","1146","200000382","Redlands - Downtown","342","0"
"San Bernardino Line","1146","294100343","L.A. Union Station","343","1"
"San Bernardino Line","1146","294100344","San Bernardino - Downtown","344","0"
"San Bernardino Line","1146","294100345","L.A. Union Station","345","1"
"San Bernardino Line","1146","294100348","San Bernardino - Downtown","348","0"
"San Bernardino Line","1146","294100349","L.A. Union Station","349","1"
"San Bernardino Line","1146","294100352","San Bernardino - Downtown","352","0"
"San Bernardino Line","1146","294100353","L.A. Union Station","353","1"
"San Bernardino Line","1146","295100236","L.A. Union Station","355","1"
"San Bernardino Line","1146","294100356","San Bernardino - Downtown","356","0"
"San Bernardino Line","1146","295200235","San Bernardino - Downtown","360","0"
"San Bernardino Line","1146","294100361","L.A. Union Station","361","1"
"Riverside Line","1149","200090402","Riverside - Downtown","400","0"
"Riverside Line","1149","295700441","L.A. Union Station","401","1"
"Riverside Line","1149","295700442","L.A. Union Station","403","1"
"Riverside Line","1149","200090405","L.A. Union Station","405","1"
"Riverside Line","1149","295700444","L.A. Union Station","407","1"
"Riverside Line","1149","295800465","Riverside - Downtown","410","0"
"Riverside Line","1149","200090404","Riverside - Downtown","412","0"
"Riverside Line","1149","295800463","Riverside - Downtown","414","0"
"Riverside Line","1149","295800464","Riverside - Downtown","416","0"
"Riverside Line","1149","295700445","L.A. Union Station","419","1"
"Orange County Line","1151","296100042","L.A. Union Station","601","1"
"Orange County Line","1151","296200094","Laguna Niguel / Mission Viejo","602","0"
"Orange County Line","1151","296100044","L.A. Union Station","603","1"
"Orange County Line","1151","296200098","Laguna Niguel / Mission Viejo","604","0"
"Orange County Line","1151","296100045","L.A. Union Station","605","1"
"Orange County Line","1151","296200101","Laguna Niguel / Mission Viejo","606","0"
"Orange County Line","1151","296100048","L.A. Union Station","607","1"
"Orange County Line","1151","296200102","Oceanside","608","0"
"Orange County Line","1151","296100057","L.A. Union Station","609","1"
"Orange County Line","1151","296100041","L.A. Union Station","611","1"
"Orange County Line","1151","200090682","Laguna Niguel / Mission Viejo","612","0"
"Orange County Line","1151","296200088","Laguna Niguel / Mission Viejo","616","0"
"Orange County Line","1151","296100047","L.A. Union Station","617","1"
"Orange County Line","1151","296200093","Oceanside","618","0"
"Orange County Line","1151","296200096","Laguna Niguel / Mission Viejo","620","0"
"Orange County Line","1151","296100049","L.A. Union Station","621","1"
"Orange County Line","1151","296200099","Laguna Niguel / Mission Viejo","622","0"
"Orange County Line","1151","200090687","L.A. Union Station","623","1"
"Orange County Line","1151","296200624","Oceanside","624","0"
"Orange County Line","1151","296200625","L.A. Union Station","625","1"
"Orange County Line","1151","296200626","Oceanside","626","0"
"Orange County Line","1151","296200627","L.A. Union Station","627","1"
"Orange County Line","1151","296200628","Irvine","628","0"
"Orange County Line","1151","296200629","L.A. Union Station","629","1"
"Orange County Line","1151","296200631","L.A. Union Station","631","1"
"Orange County Line","1151","296200634","Oceanside","634","0"
"91 Line","1150","296000081","Perris - South","700","0"
"91 Line","1150","295900043","L.A. Union Station","701","1"
"91 Line","1150","295900046","L.A. Union Station","703","1"
"91 Line","1150","295900055","L.A. Union Station","705","1"
"91 Line","1150","295900061","L.A. Union Station","707","1"
"91 Line","1150","296000100","Perris - South","708","0"
"91 Line","1150","200090709","L.A. Union Station","713","1"
"91 Line","1150","294100713","L.A. Union Station","719","1"
"91 Line","1150","200090702","Perris - South","720","0"
"91 Line","1150","294100723","L.A. Union Station","723","1"
"91 Line","1150","296000091","Perris - South","732","0"
"91 Line","1150","296000097","Perris - South","736","0"
"91 Line","1150","296000105","Perris - South","740","0"
"91 Line","1150","296000120","Perris - South","744","0"
"Inland Emp.-Orange Co. Line","1153","296800442","Riverside - Downtown","800","1"
"Inland Emp.-Orange Co. Line","1153","296500087","Laguna Niguel / Mission Viejo","801","0"
"Inland Emp.-Orange Co. Line","1153","296500082","Oceanside","803","0"
