service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RDEC24-801-1_Weekday-56,1,1,1,1,1,0,0,20250529,20250530
RDEC24-801-2_Saturday-30,0,0,0,0,0,1,0,20250531,20250531
RDEC24-801-3_Sunday-15,0,0,0,0,0,0,1,20250601,20250601
RDEC24-801-1_Weekday-90,1,1,1,1,1,0,0,20250602,20250612
RDEC24-801-2_Saturday-90,0,0,0,0,0,1,0,20250607,20250607
RDEC24-801-3_Sunday-90,0,0,0,0,0,0,1,20250608,20250608
RDEC24-802-1_Weekday-51,1,1,1,1,1,0,0,20250529,20250529
RDEC24-802-1_Weekday-81,1,1,1,1,1,0,0,20250530,20250612
RDEC24-802-2_Saturday-81,0,0,0,0,0,1,0,20250531,20250607
RDEC24-802-3_Sunday-81,0,0,0,0,0,0,1,20250601,20250608
RDEC24-803-1_Weekday-22,1,1,1,1,1,0,0,20250529,20250529
RDEC24-803-1_Weekday-21,1,1,1,1,1,0,0,20250530,20250605
RDEC24-803-2_Saturday-06,0,0,0,0,0,1,0,20250531,20250531
RDEC24-803-3_Sunday-05,0,0,0,0,0,0,1,20250601,20250601
RDEC24-803-1_Weekday-97,1,1,1,1,1,0,0,20250606,20250612
RDEC24-803-2_Saturday-97,0,0,0,0,0,1,0,20250607,20250607
RDEC24-803-3_Sunday-97,0,0,0,0,0,0,1,20250608,20250608
RDEC24-804-1_Weekday-03,1,1,1,1,1,0,0,20250529,20250529
RDEC24-804-1_Weekday-90,1,1,1,1,1,0,0,20250530,20250612
RDEC24-804-2_Saturday-21,0,0,0,0,0,1,0,20250531,20250531
RDEC24-804-3_Sunday-90,0,0,0,0,0,0,1,20250601,20250608
RDEC24-804-2_Saturday-90,0,0,0,0,0,1,0,20250607,20250607
