service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
72985-0000001-0,0,0,0,0,0,0,1,20250126,20250601,2025-01-26 → 06-01 (19 Su)
72986-0000010-0,0,0,0,0,0,1,0,20250201,20250607,2025-02-01 → 06-07 (19 Sa)
72987-1111100-0,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (19 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
7298753-1111100-53,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
7298755-1111100-55,0,0,0,0,1,0,0,20250131,20250606,2025-01-31 → 06-06 (19 Fr)
82013-1111111-0,1,1,1,1,1,1,1,20250126,20250607,"2025-01-26 → 06-07 (19 Mo, 19 Tu, 19 We, 19 Th, 19 Fr, 19 Sa, 19 Su)"
83811-1111100-0,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
83812-1111100-0,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
83824-1111100-0,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
8382411-1111100-11,0,0,0,1,0,0,0,20250130,20250605,2025-01-30 → 06-05 (19 Th)
8382461-1111100-61,1,1,1,1,1,0,0,20250127,20250603,"2025-01-27 → 06-03 (13 Mo, 17 Tu, 16 We, 16 Th, 15 Fr)"
838247-1111100-7,1,0,0,0,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (16 Mo, 2 Tu, 19 Fr)"
838249-1111100-9,0,0,0,0,1,0,0,20250131,20250606,2025-01-31 → 06-06 (19 Fr)
83826-0000010-0,0,0,0,0,0,1,0,20250201,20250607,2025-02-01 → 06-07 (19 Sa)
83827-0000001-0,0,0,0,0,0,0,1,20250126,20250601,2025-01-26 → 06-01 (19 Su)
83828-0000010-0,0,0,0,0,0,1,0,20250201,20250607,2025-02-01 → 06-07 (19 Sa)
83829-1111100-0,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
8382927-1111100-27,1,1,1,1,1,0,0,20250203,20250530,"2025-02-03 → 05-30 (14 Mo, 16 Tu, 16 We, 16 Th, 15 Fr)"
8382965-1111100-65,1,1,1,1,1,0,0,20250127,20250529,"2025-01-27 → 05-29 (15 Mo, 17 Tu, 17 We, 17 Th, 14 Fr)"
83876-1111100-0,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
8387619-1111100-19,1,1,1,1,1,0,0,20250203,20250530,"2025-02-03 → 05-30 (14 Mo, 16 Tu, 16 We, 16 Th, 15 Fr)"
83877-0000010-0,0,0,0,0,0,1,0,20250201,20250607,2025-02-01 → 06-07 (19 Sa)
83878-0000001-0,0,0,0,0,0,0,1,20250126,20250601,2025-01-26 → 06-01 (19 Su)
83908-1111100-0,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
8390859-1111100-59,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (16 Mo, 18 Tu, 18 We, 18 Th, 17 Fr)"
83910-0000010-0,0,0,0,0,0,1,0,20250201,20250607,"2025-02-01 → 06-07 (Mo, 19 Sa)"
8391063-0000010-63,1,1,1,1,1,1,1,20250217,20250217,2025-02-17 → 02-17 (Mo)
83914-1111100-0,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
8391415-1111100-15,1,1,1,1,1,0,0,20250203,20250602,"2025-02-03 → 06-02 (15 Mo, 16 Tu, 16 We, 16 Th, 15 Fr)"
8391421-1111100-21,1,1,1,1,1,0,0,20250127,20250606,"2025-01-27 → 06-06 (15 Mo, 17 Tu, 17 We, 17 Th, 17 Fr)"
83915-0000010-0,0,0,0,0,0,1,0,20250201,20250607,2025-02-01 → 06-07 (19 Sa)
83916-0000010-0,1,1,1,1,1,1,1,20250217,20250217,2025-02-17 → 02-17 (Mo)
83917-0000001-0,0,0,0,0,0,0,1,20250126,20250601,2025-01-26 → 06-01 (19 Su)
83918-0000001-0,1,1,1,1,1,1,1,20250526,20250526,2025-05-26 → 05-26 (Mo)
83920-0000001-0,0,0,0,0,0,0,1,20250126,20250601,"2025-01-26 → 06-01 (Mo, 19 Su)"
8392063-0000001-63,0,0,0,0,0,0,0,20250316,20250526,"2025-03-16 → 05-26 (Mo, Su)"
83967-0000010-0,1,1,1,1,1,1,1,20250217,20250217,2025-02-17 → 02-17 (Mo)
83968-0000010-0,1,1,1,1,1,1,1,20250217,20250217,2025-02-17 → 02-17 (Mo)
83969-0000010-0,1,1,1,1,1,1,1,20250217,20250217,2025-02-17 → 02-17 (Mo)
83970-0000001-0,1,1,1,1,1,1,1,20250526,20250526,2025-05-26 → 05-26 (Mo)
83971-0000001-0,1,1,1,1,1,1,1,20250526,20250526,2025-05-26 → 05-26 (Mo)
S2_72985-0000001-0,0,0,0,0,0,0,1,20250608,20250824,2025-06-08 → 08-24 (12 Su)
S2_72986-0000010-0,0,0,0,0,0,1,0,20250614,20250830,2025-06-14 → 08-30 (12 Sa)
S2_72987-1111100-0,1,1,1,1,1,0,0,20250609,20250829,"2025-06-09 → 08-29 (12 Mo, 12 Tu, 12 We, 12 Th, 12 Fr)"
S2_7298753-1111100-53,1,1,1,1,1,0,0,20250609,20250829,"2025-06-09 → 08-29 (12 Mo, 12 Tu, 12 We, 12 Th, 11 Fr)"
S2_7298755-1111100-55,0,0,0,0,1,0,0,20250613,20250829,2025-06-13 → 08-29 (12 Fr)
S2_82013-1111111-0,1,1,1,1,1,1,1,20250608,20250830,"2025-06-08 → 08-30 (12 Mo, 12 Tu, 12 We, 12 Th, 12 Fr, 12 Sa, 12 Su)"
S2_84786-1111100-0,1,1,1,1,1,0,0,20250609,20250829,"2025-06-09 → 08-29 (12 Mo, 12 Tu, 12 We, 12 Th, 11 Fr)"
S2_84787-0000010-0,0,0,0,0,0,1,0,20250614,20250830,2025-06-14 → 08-30 (12 Sa)
S2_84788-0000001-0,0,0,0,0,0,0,1,20250608,20250824,2025-06-08 → 08-24 (12 Su)
S2_84790-1111100-0,1,1,1,1,1,0,0,20250609,20250829,"2025-06-09 → 08-29 (12 Mo, 12 Tu, 12 We, 12 Th, 11 Fr)"
S2_84791-1111100-0,1,1,1,1,1,0,0,20250609,20250829,"2025-06-09 → 08-29 (12 Mo, 12 Tu, 12 We, 12 Th, 11 Fr)"
S2_8479111-1111100-11,0,0,0,1,0,0,0,20250612,20250828,2025-06-12 → 08-28 (12 Th)
