service_id,date,exception_type
7298753-1111100-53,20250217,2
7298753-1111100-53,20250526,2
83811-1111100-0,20250217,2
83811-1111100-0,20250526,2
83812-1111100-0,20250217,2
83812-1111100-0,20250526,2
83824-1111100-0,20250217,2
83824-1111100-0,20250526,2
8382461-1111100-61,20250210,2
8382461-1111100-61,20250217,2
8382461-1111100-61,20250314,2
8382461-1111100-61,20250317,2
8382461-1111100-61,20250407,2
8382461-1111100-61,20250408,2
8382461-1111100-61,20250409,2
8382461-1111100-61,20250410,2
8382461-1111100-61,20250411,2
8382461-1111100-61,20250414,2
8382461-1111100-61,20250415,2
8382461-1111100-61,20250416,2
8382461-1111100-61,20250417,2
8382461-1111100-61,20250418,2
8382461-1111100-61,20250526,2
838247-1111100-7,20250318,1
838247-1111100-7,20250527,1
838247-1111100-7,20250217,2
838247-1111100-7,20250317,2
838247-1111100-7,20250526,2
83829-1111100-0,20250217,2
83829-1111100-0,20250526,2
8382927-1111100-27,20250214,2
8382927-1111100-27,20250217,2
8382927-1111100-27,20250331,2
8382927-1111100-27,20250401,2
8382927-1111100-27,20250402,2
8382927-1111100-27,20250403,2
8382927-1111100-27,20250404,2
8382927-1111100-27,20250526,2
8382965-1111100-65,20250214,2
8382965-1111100-65,20250217,2
8382965-1111100-65,20250307,2
8382965-1111100-65,20250331,2
8382965-1111100-65,20250401,2
8382965-1111100-65,20250402,2
8382965-1111100-65,20250403,2
8382965-1111100-65,20250404,2
8382965-1111100-65,20250526,2
83876-1111100-0,20250217,2
83876-1111100-0,20250526,2
8387619-1111100-19,20250214,2
8387619-1111100-19,20250217,2
8387619-1111100-19,20250331,2
8387619-1111100-19,20250401,2
8387619-1111100-19,20250402,2
8387619-1111100-19,20250403,2
8387619-1111100-19,20250404,2
8387619-1111100-19,20250526,2
83908-1111100-0,20250217,2
83908-1111100-0,20250526,2
8390859-1111100-59,20250214,2
8390859-1111100-59,20250217,2
8390859-1111100-59,20250331,2
8390859-1111100-59,20250401,2
8390859-1111100-59,20250402,2
8390859-1111100-59,20250403,2
8390859-1111100-59,20250404,2
8390859-1111100-59,20250526,2
83910-0000010-0,20250217,1
83914-1111100-0,20250217,2
83914-1111100-0,20250526,2
8391415-1111100-15,20250214,2
8391415-1111100-15,20250217,2
8391415-1111100-15,20250331,2
8391415-1111100-15,20250401,2
8391415-1111100-15,20250402,2
8391415-1111100-15,20250403,2
8391415-1111100-15,20250404,2
8391415-1111100-15,20250526,2
8391421-1111100-21,20250217,2
8391421-1111100-21,20250317,2
8391421-1111100-21,20250318,2
8391421-1111100-21,20250319,2
8391421-1111100-21,20250320,2
8391421-1111100-21,20250321,2
8391421-1111100-21,20250324,2
8391421-1111100-21,20250325,2
8391421-1111100-21,20250326,2
8391421-1111100-21,20250327,2
8391421-1111100-21,20250328,2
8391421-1111100-21,20250526,2
83920-0000001-0,20250526,1
8392063-0000001-63,20250316,1
8392063-0000001-63,20250526,1
S2_7298753-1111100-53,20250704,2
S2_84786-1111100-0,20250704,2
S2_84790-1111100-0,20250704,2
S2_84791-1111100-0,20250704,2
S2_847917-1111100-7,20250703,1
S2_847917-1111100-7,20250704,2
S2_847919-1111100-9,20250707,1
S2_847919-1111100-9,20250704,2
S2_84793-1111100-0,20250704,2
S2_8479327-1111100-27,20250823,2
S2_8479327-1111100-27,20250824,2
S2_84822-1111100-0,20250704,2
S2_8482225-1111100-25,20250704,2
S2_84828-1111100-0,20250704,2
S2_84828-1111100-0,20250724,2
S2_84828-1111100-0,20250725,2
S2_84829-0000010-0,20250726,2
S2_84830-0000001-0,20250704,1
S2_84830-0000001-0,20250727,2
S2_84839-1111100-0,20250704,2
gen:27073c6e7d,20250217,2
gen:27073c6e7d,20250526,2
gen:27073c6e7d,20250704,2
