route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order,route_group,route_pattern1,route_pattern2
1,MTS,1,Fashion Valley - La Mesa,3,https://www.sdmts.com/schedules-real-time?fragment=1,000099,FFFFFF,,SBMF,1-W,1-E
2,MTS,2,Downtown San Diego - 30th & Adams,3,https://www.sdmts.com/schedules-real-time?fragment=2,000099,FFFFFF,,SDTC,2-S1,2-N1
3,MTS,3,UCSD Hospital - Euclid Transit Center,3,https://www.sdmts.com/schedules-real-time?fragment=3,000099,FFFFFF,,SBMF,3-N,3-S
4,MTS,4,12th & Imperial Trolley - Lomita Village,3,https://www.sdmts.com/schedules-real-time?fragment=4,000099,FFFFFF,,SDTC,4-E,4-W
5,MTS,5,Downtown San Diego - Euclid Transit Center,3,https://www.sdmts.com/schedules-real-time?fragment=5,000099,FFFFFF,,SBMF,5-E,5-W
6,MTS,6,North Park - Fashion Valley,3,https://www.sdmts.com/schedules-real-time?fragment=6,000099,FFFFFF,,SDTC,6-W,6-E
7,MTS,7,Downtown San Diego - University/College,3,https://www.sdmts.com/schedules-real-time?fragment=7,000099,FFFFFF,,SDTC,7-NF,7-SF
8,MTS,8,Old Town - Balboa Av TC,3,https://www.sdmts.com/schedules-real-time?fragment=8,000099,FFFFFF,,SDTC,8-N2,8-S2
9,MTS,9,Old Town - Jewell & Garnet,3,https://www.sdmts.com/schedules-real-time?fragment=9,000099,FFFFFF,,SDTC,9-N,9-S
10,MTS,10,Old Town - University/College,3,https://www.sdmts.com/schedules-real-time?fragment=10,000099,FFFFFF,,SDTC,10-E,10-W
11,MTS,11,SDSU - Downtown San Diego,3,https://www.sdmts.com/schedules-real-time?fragment=11,000099,FFFFFF,,SDTC,11-S,11-N
12,MTS,12,City College - Skyline Hills,3,https://www.sdmts.com/schedules-real-time?fragment=12,000099,FFFFFF,,SDTC,12-E,12-W
13,MTS,13,Kaiser Hospital  - 24th St Transit Center,3,https://www.sdmts.com/schedules-real-time?fragment=13,000099,FFFFFF,,SDTC,13-N,13-S
14,MTS,14,Grantville Trolley  -  Baltimore & Lake Murray,3,https://www.sdmts.com/schedules-real-time?fragment=14,000099,FFFFFF,,COPGAR,14-W,14-E
18,MTS,18,Grantville Trlly via Camino del Rio,3,https://www.sdmts.com/schedules-real-time?fragment=18,000099,FFFFFF,,COPGAR,18-CW,
20,MTS,20,Downtown - Rancho Bernardo Transit Station,3,https://www.sdmts.com/schedules-real-time?fragment=20,000099,FFFFFF,,SDTC,20-N,20-S
25,MTS,25,Fashion Valley - Kearny Mesa TC,3,https://www.sdmts.com/schedules-real-time?fragment=25,000099,FFFFFF,,COPGAR,25-N,25-S
